Final annotation,Text,English Translation
Non Misogynistic,আপু প্রথম প্রজন্মের নারী উদ্যোক্তা হিসেবে সফল,Apu is successful as a first-generation female entrepreneur.
Derogation,এই মেয়ের ভ্রু দুটো এত মোটা যে একটা কালো বাঁধের মতো দেখায়,This girl’s eyebrows are so thick that they look like a black dam.
Derogation,এই মেয়েটার হাত দুটো দেখতে বাঁদরের মতো লম্বা।,This girl’s arms look as long as a monkey’s.
Stereotype,মেয়েদের বিয়ে তাড়াতাড়ি দেওয়াই পরিবারের জন্য ভালো,It is better for the family to marry girls off early.
Sexual Harassment,মামুনি তোমাকে ব্রা ছাড়াই সুন্দর লাগছে,"Sweetie, you look beautiful even without a bra."
Stereotype,মেয়েরা সহজে কাউকে মাফ করতে পারে না,Girls cannot easily forgive anyone.
Stereotype,"আসলে স্বাধীনতা মেয়েদের জন্য নিরাপদ না, সবাই জানে।","Actually, freedom is not safe for girls; everyone knows that."
Sexual Harassment,এরা আসলে কিসের শো করে? রাতে খাট কাঁপানোর শো নাকি,What kind of show do they actually do? A show of shaking the bed at night?
Derogation,ওর হাসির ধরন দেখলে মনে হয় বাজারের মেয়ে,"Looking at the way she smiles, she seems like a girl from the market."
Derogation,ভাইরে ভাই বাংলার বুকে লজ্জাহীন অনেক মেয়ে দেখেছি কিন্তু ওর মত এরকম লজ্জাহীন মেয়ে দেখি নাই।,"Oh brother, I have seen many shameless girls in Bengal, but I have never seen a girl as shameless as her."
Non Misogynistic,মেয়েটার সাহস সবার জন্য অনুপ্রেরণা,The girl’s courage is an inspiration for everyone.
Stereotype,"দেখো, মেয়েদের উচিত স্বামীর ইচ্ছাকেই নিজের ইচ্ছা মনে করা।","Look, women should consider their husband’s wishes as their own wishes."
Sexual Harassment,মেয়েটার অল্প বয়সে এত যৌবনের তেজ কেন?,Why does this girl have so much youthful vigor at such a young age?
Sexual Harassment,তুই তো একটা খাওয়া মাল,You are such a used item.
Non Misogynistic,মেয়েটা সমাজের জন্য যা করছে তা আগামী প্রজন্মের জন্য পথ তৈরি করছে।,What this girl is doing for society is paving the way for the next generation.
Sexual Harassment,"ভাবি, লেংটা হয়ে দাঁড়ালে অ্যাওয়ার্ড পাবে","Sister-in-law, if you stand naked, you will win an award."
Sexual Harassment,মামুনির সাইজ দেখে হাত না মেরে থাকা যায় না,"Looking at Mamuni’s size, it is impossible not to masturbate."
Non Misogynistic,মেয়েটা চাপের মধ্যেও ঠান্ডা মাথায় কাজ করে,The girl works calmly even under pressure.
Sexual Harassment,এই সুন্দরীর নিচে মধু ঢেলে চেটে খেতে চাই,I want to pour honey down under this beauty and lick it off.
Sexual Harassment,এই মেয়েকে দেখতে টসটসা মাল লাগছে খেতে দারুণ লাগবে,This girl looks like a juicy piece; she would be great to taste.
Derogation,তুমি যে নটি তা তোমাকে দেখলেই বুঝা যায়,It is obvious just by looking at you that you are slutty.
Stereotype,সুন্দরী মেয়েরাই পরকিয়ায় জড়িত হয়,Only beautiful girls get involved in extramarital affairs.
Stereotype,মেয়েরা ক্রিটিক্যাল থিংকিং করতে পারে না,Girls cannot do critical thinking.
Sexual Harassment,"দিদির দুধ কদবেল ঝুলে যাওয়ার মতো, দেখে আর মজা পাই না",Didi’s breasts hang like wood apples; I do not enjoy looking at them anymore.
Stereotype,মেয়েরা নিজেদের চেহারা নিয়ে মাত্রাতিক্ত সচেতন,Girls are excessively conscious about their appearance.
Derogation,মেয়েটার ওজন দেখে মনে হয় কেউ ওকে পাম্প করে রেখেছে,"Looking at the girl’s weight, it seems as if someone has pumped her up."
Non Misogynistic,মেয়েটার ক্রীড়া অর্জন তরুণ প্রজন্মের মেয়েদের অনুপ্রেরণা দিচ্ছে।,The girl’s sports achievements are inspiring young girls of the next generation.
Non Misogynistic,মেয়েটার সাহিত্যকর্ম সমাজের কণ্ঠহীনদের কণ্ঠ দেয়।,The girl’s literary work gives a voice to the voiceless in society.
Derogation,"দিদি তো একজন বারোভাতারি, পাড়ার সবাই জানে",Didi is a promiscuous woman; everyone in the neighborhood knows it.
Derogation,তোর মতো মেয়েকে রাস্তার টোকাই পোলাও বিয়ে করবে না,Even a street beggar boy would not marry a girl like you.
Sexual Harassment,আপু এক রাতের ডিল কনফার্ম করতে কত লাগবে?,"Apu, how much would it cost to confirm a one-night deal?"
Derogation,এই মহিলা মানুষ না জম্বির মত নাচে,This woman does not dance like a human; she dances like a zombie.
Derogation,মেয়েটার হাতগুলো দেখলে কঙ্কালের হা্তের কথা মনে পড়ে যায়,Looking at the girl’s hands reminds me of skeleton hands.
Sexual Harassment,"এই মাগি এতটুকু কাপড়ের কী দরকার, ব্লাউজটা না পরলেও চলত",Why does this bitch even need such a tiny piece of cloth? She could have gone without the blouse.
Sexual Harassment,"কয়জনের হাত পড়েছে ওটার হিসাব নেই, নইলে এত বড় দুধ হয় নাকি?","There is no count of how many people have touched those; otherwise, do breasts become that big?"
Sexual Harassment,তোর শরীরে সারা বছর গরম থাকে ঠান্ডা করার লোক পাস না? আমি আসবো?,Your body stays hot all year; can’t you find someone to cool it down? Should I come?
Stereotype,সবসময় দেখা যায় মেয়েদের নাইট শিফট দিলে কাজের চেয়ে অজুহাত বেশি দেয়,"It is always seen that when women are given night shifts, they make more excuses than they do work."
Non Misogynistic,মেয়েদের প্রতি সমতার দৃষ্টিভঙ্গি পোষণ করা প্রতিটি মানুষের নৈতিক দায়িত্ব।,It is every person’s moral duty to maintain an attitude of equality toward women.
Stereotype,বিয়ের পর মেয়েদের কেনো চাকরি করতে হবে?,Why do women need to work after marriage?
Derogation,"মেয়েটার কথা শুনেই বুঝছি মাথায় গোবর দিয়ে ভরা, বুদ্ধি নাই","Just by hearing the girl speak, I can tell her head is filled with cow dung; she has no intelligence."
Non Misogynistic,মেয়েটা পরিবেশ রক্ষায় যে উদ্যোগ নিয়েছে তা সমাজে ইতিবাচক প্রভাব ফেলছে।,The initiative the girl has taken to protect the environment is having a positive impact on society.
